TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
5,863,Friday,2950120214,1,LAWN AND GARDEN,2564
5,863,Friday,7431255366,1,PHARMACY OTC,502
5,863,Friday,9285200065,1,HORTICULTURE AND ACCESS,1000
5,863,Friday,2471920544,1,HORTICULTURE AND ACCESS,8005
30,873,Friday,80635370009,1,JEWELRY AND SUNGLASSES,3424
30,873,Friday,80635370003,1,JEWELRY AND SUNGLASSES,3421
36,958,Friday,3700088234,1,HOUSEHOLD PAPER GOODS,1006
36,958,Friday,3980003678,1,IMPULSE MERCHANDISE,908
36,958,Friday,5280048262,4,BEAUTY,4020
33,984,Friday,7350203861,1,HOME MANAGEMENT,1162
7,991,Friday,4440010800,1,FROZEN FOODS,2306
7,991,Friday,7224013387,1,PRODUCE,3105
7,991,Friday,3338311010,1,PRODUCE,108
7,991,Friday,20857100000,1,SERVICE DELI,8014
7,991,Friday,7047029423,1,DAIRY,1344
7,991,Friday,20184400000,1,SERVICE DELI,7010
7,991,Friday,7874298994,1,BAKERY,9008
7,991,Friday,78035378404,1,PRODUCE,3602
7,991,Friday,4850001830,1,DAIRY,1404
7,991,Friday,2100012382,1,DAIRY,1352
7,991,Friday,7539103278,1,SEAFOOD,1078
32,1022,Friday,5000021667,1,INFANT CONSUMABLE HARDLINES,723
32,1022,Friday,7502002393,1,INFANT CONSUMABLE HARDLINES,1003
32,1022,Friday,3700086359,1,INFANT CONSUMABLE HARDLINES,272
7,1029,Friday,20108700000,1,SERVICE DELI,8014
37,1042,Friday,4103,1,PRODUCE,1209
37,1042,Friday,78035378403,1,PRODUCE,3601
37,1042,Friday,7774529186,1,PRODUCE,7045
37,1042,Friday,7774529187,1,PRODUCE,7045
37,1042,Friday,3107,1,PRODUCE,103
37,1042,Friday,4036,1,PRODUCE,2500
7,1044,Friday,7261345415,1,HOUSEHOLD CHEMICALS/SUPP,735
7,1044,Friday,2370003764,1,MEAT - FRESH & FROZEN,6069
7,1044,Friday,7315015223,1,PRODUCE,7603
15,1052,Friday,64541698776,1,CELEBRATION,1805
15,1052,Friday,1200014143,1,DSD GROCERY,9501
15,1052,Friday,64541698757,1,CELEBRATION,1805
15,1052,Friday,64541698626,1,CELEBRATION,1805
15,1052,Friday,64541698630,1,CELEBRATION,1805
15,1052,Friday,1200004300,1,DSD GROCERY,9501
15,1052,Friday,30997959003,1,BEAUTY,2255
15,1052,Friday,64541634381,1,CELEBRATION,1805
15,1052,Friday,30997959001,1,BEAUTY,2255
15,1052,Friday,64541699080,1,CELEBRATION,1805
40,1065,Friday,2265570177,1,MEAT - FRESH & FROZEN,6160
40,1065,Friday,22093300000,1,MEAT - FRESH & FROZEN,1301
40,1065,Friday,2840042049,1,IMPULSE MERCHANDISE,808
40,1065,Friday,7874203524,1,DSD GROCERY,9220
40,1065,Friday,4112963210,1,GROCERY DRY GOODS,2400
40,1065,Friday,3500044667,1,HOUSEHOLD CHEMICALS/SUPP,110
40,1065,Friday,3700086775,1,HOUSEHOLD PAPER GOODS,3050
40,1065,Friday,5400036922,1,HOUSEHOLD PAPER GOODS,1012
40,1065,Friday,4133500064,1,GROCERY DRY GOODS,2453
40,1065,Friday,68113138753,1,PRODUCE,7004
40,1065,Friday,4300095547,1,DSD GROCERY,4628
40,1065,Friday,4300095570,1,DSD GROCERY,4628
40,1065,Friday,4065,1,PRODUCE,8101
40,1065,Friday,2265572402,1,MEAT - FRESH & FROZEN,6503
40,1065,Friday,1312000286,1,FROZEN FOODS,1801
40,1065,Friday,20978800000,1,SERVICE DELI,6015
40,1065,Friday,3940001969,1,GROCERY DRY GOODS,2827
40,1065,Friday,5210015530,1,GROCERY DRY GOODS,4151
40,1065,Friday,4159,1,PRODUCE,4038
40,1065,Friday,3120021007,1,DSD GROCERY,4639
40,1065,Friday,7294560136,1,COMM BREAD,3702
40,1065,Friday,4112907700,1,GROCERY DRY GOODS,2400
40,1065,Friday,7680850106,1,GROCERY DRY GOODS,3901
40,1065,Friday,22098400000,1,MEAT - FRESH & FROZEN,6164
23,1068,Friday,4787587145,1,MEDIA AND GAMING,8076
23,1068,Friday,4787587137,1,MEDIA AND GAMING,8076
23,1068,Friday,4549690349,1,PLAYERS AND ELECTRONICS,1134
23,1068,Friday,4787587143,1,MEDIA AND GAMING,8076
33,1069,Friday,3700086789,1,HOUSEHOLD PAPER GOODS,3080
33,1069,Friday,4650073333,1,HOUSEHOLD CHEMICALS/SUPP,8910
33,1069,Friday,3700001197,1,PERSONAL CARE,5050
33,1069,Friday,68113103852,3,PERSONAL CARE,804
33,1069,Friday,7874204876,2,DSD GROCERY,3560
33,1069,Friday,4650073334,1,HOUSEHOLD CHEMICALS/SUPP,8910
33,1069,Friday,7261370898,1,HOUSEHOLD CHEMICALS/SUPP,765
33,1069,Friday,3500049861,1,HOUSEHOLD CHEMICALS/SUPP,145
33,1069,Friday,4460030770,3,HOUSEHOLD CHEMICALS/SUPP,1025
33,1069,Friday,7278510790,1,BEAUTY,5002
5,1073,Friday,,1,PHARMACY RX,
39,1081,Friday,20554600000,1,SERVICE DELI,8015
39,1081,Friday,88591132656,-1,HARDWARE,313
39,1081,Friday,88591132656,1,HARDWARE,313
39,1081,Friday,68113107431,1,HARDWARE,4908
39,1081,Friday,7224013387,1,PRODUCE,3105
39,1081,Friday,20834400000,1,SERVICE DELI,6804
39,1081,Friday,5113199760,1,PHARMACY OTC,3516
39,1081,Friday,7874205155,1,BAKERY,5022
39,1081,Friday,74684130111,1,AUTOMOTIVE,4007
39,1081,Friday,7452347705,1,HARDWARE,4404
39,1081,Friday,4011,1,PRODUCE,5501
39,1081,Friday,22628200000,1,SERVICE DELI,8013
39,1081,Friday,3700081114,1,HOUSEHOLD CHEMICALS/SUPP,8915
39,1081,Friday,7874209357,1,PHARMACY OTC,3516
39,1081,Friday,68113191679,1,SERVICE DELI,3051
39,1081,Friday,7911830020,1,AUTOMOTIVE,4007
36,1094,Friday,64541683764,1,CELEBRATION,56
36,1094,Friday,1111117266,1,PERSONAL CARE,9113
36,1094,Friday,60308435064,1,PERSONAL CARE,9104
36,1094,Friday,60308435074,1,PERSONAL CARE,9104
41,1105,Friday,72326163277,1,SHOES,4820
41,1105,Friday,8429720995,1,COOK AND DINE,3911
41,1105,Friday,75365671093,1,PHARMACY OTC,509
41,1105,Friday,4436502143,1,LAWN AND GARDEN,2587
41,1105,Friday,33820603021,2,PHARMACY OTC,2228
41,1105,Friday,74982600056,1,PHARMACY OTC,507
41,1105,Friday,7112195983,1,LAWN AND GARDEN,4805
41,1105,Friday,7711550003,1,HARDWARE,5857
41,1105,Friday,7675333317,1,COOK AND DINE,3712
41,1105,Friday,1634690132,1,COOK AND DINE,3734
41,1105,Friday,8149202167,1,HARDWARE,6009
40,1134,Friday,3760029538,1,GROCERY DRY GOODS,1104
40,1134,Friday,3500076395,1,PERSONAL CARE,203
40,1134,Friday,7680800132,1,GROCERY DRY GOODS,2400
40,1134,Friday,38151918119,1,PERSONAL CARE,5014
40,1134,Friday,7874208129,2,DSD GROCERY,7700
40,1134,Friday,3993807489,-1,CELEBRATION,1508
40,1134,Friday,3993807489,1,CELEBRATION,1508
40,1134,Friday,1117995501,1,CELEBRATION,211
40,1134,Friday,7173000403,4,GROCERY DRY GOODS,3006
40,1134,Friday,31254742832,1,PERSONAL CARE,801
40,1134,Friday,81014701100,1,CELEBRATION,22
40,1134,Friday,3800025603,1,FROZEN FOODS,2112
40,1134,Friday,7468309942,2,GROCERY DRY GOODS,2400
40,1134,Friday,3500076553,1,PERSONAL CARE,203
40,1134,Friday,3800040320,1,FROZEN FOODS,2112
40,1134,Friday,3993814984,1,CELEBRATION,211
40,1134,Friday,1600029860,1,GROCERY DRY GOODS,3554
40,1134,Friday,7680828008,1,GROCERY DRY GOODS,3901
40,1134,Friday,7116915662,1,GROCERY DRY GOODS,6806
40,1134,Friday,2898997540,1,FROZEN FOODS,1908
40,1134,Friday,2898997195,2,FROZEN FOODS,2101
40,1134,Friday,1450001100,1,FROZEN FOODS,1750
40,1134,Friday,2898997542,1,FROZEN FOODS,4122
40,1134,Friday,2110002511,2,GROCERY DRY GOODS,2902
40,1134,Friday,3700034885,1,HOUSEHOLD PAPER GOODS,4005
40,1134,Friday,1099500870,1,BAKERY,2001
40,1134,Friday,4000031290,1,"CANDY, TOBACCO, COOKIES",83
40,1134,Friday,1760002177,1,GROCERY DRY GOODS,2219
40,1134,Friday,7874200463,1,BAKERY,2001
40,1134,Friday,1480021084,1,GROCERY DRY GOODS,2763
40,1134,Friday,2100002633,1,GROCERY DRY GOODS,2452
40,1134,Friday,1480021085,1,GROCERY DRY GOODS,2763
40,1134,Friday,3800026066,1,FROZEN FOODS,2112
40,1134,Friday,4133500086,1,GROCERY DRY GOODS,2453
40,1134,Friday,1254600195,1,"CANDY, TOBACCO, COOKIES",221
40,1134,Friday,38151900471,1,PERSONAL CARE,5070
40,1134,Friday,4116400221,1,FROZEN FOODS,2011
40,1134,Friday,70601011292,1,GROCERY DRY GOODS,2400
40,1134,Friday,3700048177,1,PERSONAL CARE,3164
40,1134,Friday,7332105045,3,FROZEN FOODS,1953
40,1134,Friday,1111106218,1,PERSONAL CARE,4941
40,1134,Friday,1800042433,1,FROZEN FOODS,2010
40,1134,Friday,3993814983,1,CELEBRATION,211
40,1134,Friday,5233633145,1,PERSONAL CARE,5230
8,1156,Friday,4650073335,1,HOUSEHOLD CHEMICALS/SUPP,8910
8,1156,Friday,4160887039,1,PHARMACY OTC,4500
8,1156,Friday,1111114310,1,PERSONAL CARE,3163
31,1157,Friday,61021463702,1,WIRELESS,1290
999,1160,Friday,60538805777,-1,SHOES,8232
21,1164,Friday,2775501079,5,OFFICE SUPPLIES,3702
39,1171,Friday,7940026700,2,PERSONAL CARE,5491
39,1171,Friday,20577400000,1,SERVICE DELI,8015
39,1171,Friday,2500004748,1,DAIRY,1407
39,1171,Friday,2500004751,1,DAIRY,1407
39,1171,Friday,4900005010,2,DSD GROCERY,9570
39,1171,Friday,2500005126,1,DAIRY,1407
39,1171,Friday,9147504189,1,DAIRY,1405
39,1171,Friday,8226901080,1,HOUSEHOLD CHEMICALS/SUPP,9201
39,1171,Friday,7906801231,1,PERSONAL CARE,3070
39,1171,Friday,4282560277,1,MENS WEAR,8276
39,1171,Friday,88309608526,1,MENS WEAR,5660
39,1171,Friday,88530627773,1,MENS WEAR,5701
39,1171,Friday,81186502001,1,HOUSEHOLD CHEMICALS/SUPP,9001
39,1171,Friday,4650071889,1,HOUSEHOLD CHEMICALS/SUPP,3020
39,1171,Friday,2500004766,1,DAIRY,1407
29,1190,Friday,88558351252,1,SPORTING GOODS,8249
9,1209,Friday,8000611197,1,HARDWARE,6402
5,1224,Friday,5113119835,1,PHARMACY OTC,3034
5,1224,Friday,4000049087,1,IMPULSE MERCHANDISE,115
999,1235,Friday,60538812238,-1,FINANCIAL SERVICES,279
8,1247,Friday,1200000180,1,DSD GROCERY,3405
7,1279,Friday,7800008340,1,DSD GROCERY,9548
7,1279,Friday,20108800000,1,SERVICE DELI,8014
25,1298,Friday,88870812071,1,MENS WEAR,8538
25,1298,Friday,8265750080,1,DSD GROCERY,9203
25,1298,Friday,88530600006,1,MENS WEAR,5142
25,1298,Friday,4032618591,1,MENS WEAR,1556
25,1298,Friday,87897100000,1,PERSONAL CARE,5230
25,1298,Friday,4282561249,1,MENS WEAR,8313
25,1298,Friday,3426446425,1,COOK AND DINE,579
25,1298,Friday,88530626743,1,MENS WEAR,5701
25,1298,Friday,88530600775,1,MENS WEAR,5207
9,1342,Friday,7919123063,1,AUTOMOTIVE,3004
39,1412,Friday,4190007320,1,FROZEN FOODS,1854
39,1412,Friday,4300095373,1,DSD GROCERY,4623
39,1412,Friday,8768400518,1,DSD GROCERY,4624
39,1412,Friday,4280047645,2,FROZEN FOODS,1951
39,1412,Friday,8768400103,1,DSD GROCERY,4624
39,1412,Friday,1200080994,1,DSD GROCERY,9516
39,1412,Friday,3090000359,1,DAIRY,7953
39,1412,Friday,4400003223,1,DSD GROCERY,3605
39,1412,Friday,75752800880,1,IMPULSE MERCHANDISE,808
39,1412,Friday,3400012383,1,IMPULSE MERCHANDISE,611
39,1412,Friday,8768400514,1,DSD GROCERY,4624
39,1412,Friday,2840043783,1,IMPULSE MERCHANDISE,808
39,1412,Friday,7874203188,1,FROZEN FOODS,1853
39,1412,Friday,88882330069,1,MENS WEAR,3638
3,1452,Friday,60538896309,1,FINANCIAL SERVICES,276
3,1452,Friday,68113163351,1,FINANCIAL SERVICES,275
27,1453,Friday,2471931241,2,HORTICULTURE AND ACCESS,8395
27,1453,Friday,72450425008,1,PAINT AND ACCESSORIES,1005
27,1453,Friday,7015800066,1,PAINT AND ACCESSORIES,4201
7,1459,Friday,7432309090,2,COMM BREAD,3701
7,1459,Friday,71660511934,-1,SLEEPWEAR/FOUNDATIONS,3381
7,1459,Friday,71660511934,1,SLEEPWEAR/FOUNDATIONS,3381
35,1471,Friday,1920075352,1,HOUSEHOLD CHEMICALS/SUPP,3610
35,1471,Friday,1200001311,2,DSD GROCERY,9205
35,1471,Friday,3500046113,1,HOUSEHOLD CHEMICALS/SUPP,130
35,1471,Friday,7874235192,6,DSD GROCERY,9207
5,1476,Friday,75702628222,1,OPTICAL - FRAMES,5731
3,1495,Friday,68113176761,1,FINANCIAL SERVICES,283
3,1556,Friday,60538896309,1,FINANCIAL SERVICES,276
3,1556,Friday,68113163351,1,FINANCIAL SERVICES,275
9,1568,Friday,84010919217,1,IMPULSE MERCHANDISE,8904
5,1593,Friday,3160402967,1,PHARMACY OTC,951
5,1593,Friday,30005556819,1,PHARMACY OTC,801
5,1593,Friday,7874298567,1,BAKERY,3024
5,1593,Friday,61126910171,1,DSD GROCERY,3467
21,1607,Friday,7535301290,1,FABRICS AND CRAFTS,2921
21,1607,Friday,7431974072,2,OFFICE SUPPLIES,3540
21,1607,Friday,76594021353,1,FABRICS AND CRAFTS,2655
21,1607,Friday,76594051370,1,FABRICS AND CRAFTS,2655
21,1607,Friday,7535301197,1,FABRICS AND CRAFTS,2921
21,1607,Friday,7535334008,1,FABRICS AND CRAFTS,2921
21,1607,Friday,4138800460,1,IMPULSE MERCHANDISE,338
21,1607,Friday,7535334001,1,FABRICS AND CRAFTS,2921
21,1607,Friday,7535327951,1,FABRICS AND CRAFTS,2921
5,1612,Friday,1016447873,1,OPTICAL - FRAMES,5012
40,1634,Friday,8520000127,2,"LIQUOR,WINE,BEER",3452
40,1634,Friday,3890000469,1,GROCERY DRY GOODS,2757
40,1634,Friday,84873700223,1,GROCERY DRY GOODS,4158
40,1634,Friday,73447533423,1,PRODUCE,8108
40,1634,Friday,3090001223,1,DAIRY,7960
40,1634,Friday,8520000126,2,"LIQUOR,WINE,BEER",3452
40,1634,Friday,89470001010,5,DAIRY,1450
40,1634,Friday,4470006420,1,PRE PACKED DELI,7552
40,1634,Friday,1200002454,1,DSD GROCERY,3053
40,1634,Friday,3600036094,1,HOUSEHOLD PAPER GOODS,3010
40,1634,Friday,8000050525,1,GROCERY DRY GOODS,2906
40,1634,Friday,68896200806,1,PRODUCE,7911
40,1634,Friday,7341013547,1,COMM BREAD,6353
40,1634,Friday,81843100005,1,PRODUCE,7151
40,1634,Friday,4011,1,PRODUCE,5501
40,1634,Friday,6827491147,2,DSD GROCERY,9215
40,1634,Friday,78035378403,1,PRODUCE,3601
40,1634,Friday,8000049522,1,GROCERY DRY GOODS,2906
40,1634,Friday,3320000020,2,GROCERY DRY GOODS,4001
3,1666,Friday,60538812236,1,FINANCIAL SERVICES,278
3,1666,Friday,60538812237,1,FINANCIAL SERVICES,277
8,1671,Friday,1200014143,1,DSD GROCERY,9501
39,1712,Friday,7050101330,1,BEAUTY,4670
39,1712,Friday,68113118744,1,BEAUTY,4503
39,1712,Friday,63665291551,1,PHARMACY OTC,603
39,1712,Friday,1700003961,1,PERSONAL CARE,3180
39,1712,Friday,22457000000,1,SERVICE DELI,7005
39,1712,Friday,2070921230,1,"CANDY, TOBACCO, COOKIES",35
39,1712,Friday,1851511712,1,PHARMACY OTC,518
39,1712,Friday,61126910171,1,DSD GROCERY,3467
39,1712,Friday,4000000460,1,IMPULSE MERCHANDISE,110
39,1712,Friday,7050102830,1,BEAUTY,4650
39,1712,Friday,32586610501,1,PHARMACY OTC,2015
39,1712,Friday,2270057579,1,IMPULSE MERCHANDISE,323
9,1726,Friday,73651164020,1,AUTOMOTIVE,905
29,1786,Friday,88381391909,1,SPORTING GOODS,8390
29,1786,Friday,3700088234,1,HOUSEHOLD PAPER GOODS,1006
29,1786,Friday,74677534571,1,TOYS,1402
29,1786,Friday,68113107862,1,BAKERY,5017
29,1786,Friday,2572538819,1,SPORTING GOODS,8411
29,1786,Friday,1200000129,1,DSD GROCERY,9547
29,1786,Friday,2638815713,1,SPORTING GOODS,8392
33,1796,Friday,4130100106,1,HARDWARE,9710
33,1796,Friday,4130100129,1,HARDWARE,9718
33,1796,Friday,2905400221,1,HARDWARE,3310
44,1803,Friday,88644031435,1,PETS AND SUPPLIES,3820
44,1803,Friday,78082412392,1,PETS AND SUPPLIES,5010
44,1803,Friday,78630609830,2,PETS AND SUPPLIES,5003
44,1803,Friday,88392905996,1,MEDIA AND GAMING,9640
44,1803,Friday,88825510440,1,IMPULSE MERCHANDISE,350
44,1803,Friday,78082410268,1,PETS AND SUPPLIES,5003
44,1803,Friday,88644031436,1,PETS AND SUPPLIES,3820
44,1803,Friday,8539116326,1,MEDIA AND GAMING,9635
44,1803,Friday,68113107350,1,ELECTRONICS,9923
8,1824,Friday,3400008803,1,"CANDY, TOBACCO, COOKIES",79
8,1824,Friday,64312604011,1,PRODUCE,5501
3,1877,Friday,68113163352,1,FINANCIAL SERVICES,278
3,1877,Friday,68113163353,1,FINANCIAL SERVICES,277
5,1879,Friday,,1,PHARMACY RX,
5,1879,Friday,,1,PHARMACY RX,
36,1920,Friday,8087817207,1,PERSONAL CARE,5027
36,1920,Friday,7667710033,1,IMPULSE MERCHANDISE,804
36,1920,Friday,8010000566,1,BEAUTY,2065
36,1920,Friday,7124905320,1,BEAUTY,4510
36,1920,Friday,2410057467,1,IMPULSE MERCHANDISE,805
36,1920,Friday,3700092800,1,PERSONAL CARE,3164
36,1920,Friday,3700033840,1,HOUSEHOLD CHEMICALS/SUPP,165
8,1927,Friday,75322200110,1,FROZEN FOODS,9100
35,1946,Friday,7172572851,2,PRODUCE,177
35,1946,Friday,7172572850,2,PRODUCE,177
9,1991,Friday,6700831436,1,CELEBRATION,501
9,1991,Friday,6.92E+11,1,FABRICS AND CRAFTS,394
9,1991,Friday,6.92E+11,1,FABRICS AND CRAFTS,394
8,1998,Friday,7874243167,1,GROCERY DRY GOODS,4408
8,1998,Friday,60069966102,1,GROCERY DRY GOODS,4503
999,2004,Friday,68113133018,1,FINANCIAL SERVICES,0
8,2024,Friday,3400027001,1,"CANDY, TOBACCO, COOKIES",44
8,2024,Friday,3400027021,1,"CANDY, TOBACCO, COOKIES",44
3,2031,Friday,68113176761,1,FINANCIAL SERVICES,283
40,2035,Friday,2100061935,1,DAIRY,7958
40,2035,Friday,4200044920,1,HOUSEHOLD PAPER GOODS,1002
40,2035,Friday,2430004474,1,COMM BREAD,3707
40,2035,Friday,5210003010,1,GROCERY DRY GOODS,4263
40,2035,Friday,4460030784,1,HOUSEHOLD CHEMICALS/SUPP,1014
40,2035,Friday,68113186480,1,PHARMACY OTC,256
40,2035,Friday,5040020509,1,COMM BREAD,3701
40,2035,Friday,30081073088,1,PHARMACY OTC,3514
40,2035,Friday,2430004101,1,COMM BREAD,3707
40,2035,Friday,5610000706,1,PERSONAL CARE,3120
40,2035,Friday,4145803116,1,FROZEN FOODS,2006
40,2035,Friday,31254742755,1,PERSONAL CARE,801
40,2035,Friday,3250010381,1,GROCERY DRY GOODS,4201
40,2035,Friday,3120020007,1,DSD GROCERY,4639
