TripType,DOW,UniqueItems,TotalQty,RtrnQty,NetQty,UniqDepts,OneItemDepts,RtrnDepts
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,2,0,2,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,2,2,1
999,Friday,7,1,6,-5,2,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,0,2,-2,2,2,2
999,Friday,1,1,0,1,1,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,2,0,2,-2,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,6,-6,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,4,1,3,-2,3,2,2
999,Friday,3,0,3,-3,2,1,2
999,Friday,2,1,3,-2,2,2,2
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,1,0,2,2,1
999,Friday,7,1,6,-5,3,1,2
999,Friday,2,0,2,-2,1,0,1
999,Friday,2,0,2,-2,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,3,0,3,2,2,0
999,Friday,1,1,1,0,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,0,2,-2,1,0,1
999,Friday,2,0,2,-2,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,0,4,-4,2,1,2
999,Friday,1,1,0,1,1,1,0
999,Friday,2,4,4,0,1,0,1
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,2,-1,2,2,2
999,Friday,1,1,0,1,1,1,0
999,Friday,4,4,0,4,3,2,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,1,1,0,1,1,1,0
999,Friday,3,3,0,3,2,1,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,6,0,6,-6,5,4,5
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,1,1,0,1,1,1,0
999,Friday,2,2,0,2,1,0,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,2,0,2,1,0,0
999,Friday,2,1,1,0,2,2,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,0,2,-2,1,0,1
999,Friday,7,4,3,1,2,1,2
999,Friday,2,0,8,-8,1,0,1
999,Friday,2,1,5,-4,2,2,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,2,2,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,2,2,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,4,0,4,-4,3,2,3
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,2,2,0
999,Friday,5,4,1,3,4,3,1
999,Friday,2,2,0,2,2,2,0
999,Friday,1,1,1,0,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,2,2,2,0,1,0,1
999,Friday,2,0,2,-2,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,3,3,3,0,1,0,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,3,0,3,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,0,2,-2,2,2,2
999,Friday,1,1,0,1,1,1,0
999,Friday,2,1,1,0,1,0,1
999,Friday,2,2,0,2,1,0,0
999,Friday,2,1,1,0,2,2,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,1,1,1,0,1,1,1
999,Friday,3,0,3,-3,1,0,1
999,Friday,1,1,1,0,1,1,1
999,Friday,1,1,2,-1,1,1,1
999,Friday,1,0,2,-2,1,1,1
999,Friday,1,1,0,1,1,1,0
999,Friday,3,0,3,-3,2,1,2
999,Friday,1,1,1,0,1,1,1
999,Friday,8,10,0,10,6,5,0
999,Friday,1,1,0,1,1,1,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,2,0,2,2,2
999,Friday,2,1,5,-4,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,2,0,2,2,2,0
999,Friday,2,4,4,0,1,0,1
999,Friday,2,4,4,0,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,1,1,0,1,1,1
999,Friday,6,1,5,-4,3,2,2
999,Friday,1,0,1,-1,1,1,1
999,Friday,3,3,0,3,3,3,0
999,Friday,1,0,1,-1,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,0,3,-3,1,0,1
999,Friday,3,2,1,1,1,0,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,0,2,-2,2,2,2
999,Friday,1,0,1,-1,1,1,1
999,Friday,2,1,1,0,1,0,1
999,Friday,1,1,1,0,1,1,1
999,Friday,4,6,0,6,2,1,0
999,Friday,3,1,3,-2,2,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,7,9,0,9,6,5,0
999,Friday,4,0,4,-4,2,1,2
999,Friday,4,0,5,-5,2,0,2
999,Friday,1,1,0,1,1,1,0
999,Friday,4,0,4,-4,3,2,3
999,Friday,1,1,1,0,1,1,1
999,Friday,1,0,1,-1,1,1,1
999,Friday,7,8,0,8,2,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,1,1,0,1,1,1,0
999,Friday,3,3,0,3,3,3,0
999,Friday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,3,0,3,-3,1,0,1
999,Saturday,6,0,7,-7,2,1,2
999,Saturday,2,4,4,0,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,2,-2,1,1,1
999,Saturday,2,2,2,0,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,2,0,1,0,1
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,4,0,4,-4,1,0,1
999,Saturday,2,0,2,-2,2,2,2
999,Saturday,1,4,4,0,1,1,1
999,Saturday,2,2,2,0,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,0,2,2,2,0
999,Saturday,3,0,5,-5,1,0,1
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,3,1,2,-1,2,1,1
999,Saturday,2,2,2,0,1,0,1
999,Saturday,2,2,2,0,1,0,1
999,Saturday,2,1,2,-1,2,2,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,2,-2,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,2,0,2,2,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,2,-2,1,1,1
999,Saturday,3,5,0,5,2,1,0
999,Saturday,1,0,3,-3,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,10,14,0,14,4,0,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,7,8,1,7,3,1,1
999,Saturday,1,2,2,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,4,5,0,5,3,2,0
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,5,0,6,-6,2,0,2
999,Saturday,3,2,1,1,3,3,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,3,-3,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,5,5,0,5,4,3,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,3,0,6,-6,2,1,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,3,-3,1,0,1
999,Saturday,6,6,0,6,3,1,0
999,Saturday,2,1,1,0,2,2,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,2,-2,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,2,0,2,1,1,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,3,5,1,4,2,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,3,3,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,2,0,2,1,0,0
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,3,0,4,-4,3,3,3
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,2,0,2,2,2
999,Saturday,2,2,2,0,1,0,1
999,Saturday,2,0,3,-3,1,0,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,6,-6,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,5,0,5,-5,2,1,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,2,2,0,2,2,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,13,0,14,-14,3,1,3
999,Saturday,6,0,8,-8,3,2,3
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,4,2,2,0,1,0,1
999,Saturday,7,8,0,8,4,2,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,3,0,3,2,2,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,3,4,0,4,2,1,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,5,5,5,0,3,1,3
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,2,1,1,0,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,3,0,3,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,7,-7,1,0,1
999,Saturday,3,0,3,-3,2,1,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,2,2,0,1,1,1
999,Saturday,4,1,3,-2,2,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,9,7,3,4,6,4,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,8,0,9,-9,4,2,4
999,Saturday,2,0,3,-3,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,2,0,2,-2,2,2,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,1,1,0,2,2,1
999,Saturday,2,2,0,2,1,0,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,4,4,0,4,2,1,0
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,1,5,0,5,1,1,0
999,Saturday,3,0,3,-3,1,0,1
999,Saturday,2,0,2,-2,2,2,2
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,2,2,0,1,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,10,0,10,-10,3,1,3
999,Saturday,1,1,1,0,1,1,1
999,Saturday,3,2,1,1,3,3,1
999,Saturday,3,3,0,3,3,3,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,2,0,2,-2,2,2,2
999,Saturday,2,0,3,-3,1,0,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,1,1,0,1,1,1
999,Saturday,9,0,9,-9,5,3,5
999,Saturday,2,1,1,0,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,1,0,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,4,0,4,-4,3,2,3
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,1,0,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,1,1,0,1,1,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,2,-2,1,0,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,5,5,0,5,4,3,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,0,2,-2,2,2,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,4,4,4,0,2,1,2
999,Saturday,2,2,0,2,2,2,0
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,1,0,2,-2,1,1,1
999,Saturday,14,11,3,8,4,1,3
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,2,2,1
999,Saturday,4,1,3,-2,3,2,2
999,Saturday,2,2,0,2,1,0,0
999,Saturday,7,6,2,4,2,0,2
999,Saturday,1,0,1,-1,1,1,1
999,Saturday,2,1,1,0,1,0,1
999,Saturday,5,6,1,5,5,5,1
999,Saturday,2,1,1,0,1,0,1
999,Saturday,1,1,0,1,1,1,0
999,Saturday,1,1,0,1,1,1,0
999,Saturday,2,2,0,2,2,2,0
999,Saturday,6,8,8,0,4,2,4
999,Saturday,6,7,0,7,4,3,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,1,0,1,1,1,0
999,Sunday,3,0,3,-3,3,3,3
999,Sunday,1,1,0,1,1,1,0
999,Sunday,3,3,0,3,3,3,0
999,Sunday,1,1,0,1,1,1,0
999,Sunday,2,2,0,2,1,0,0
999,Sunday,2,2,0,2,2,2,0
999,Sunday,6,3,6,-3,4,2,3
999,Sunday,2,1,1,0,1,0,1
999,Sunday,2,1,1,0,1,0,1
999,Sunday,2,1,1,0,2,2,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,4,1,3,2,2,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,6,6,0,1,0,1
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,2,-2,1,1,1
999,Sunday,3,1,3,-2,2,1,2
999,Sunday,2,2,0,2,1,0,0
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,2,0,2,-2,2,2,2
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,3,4,0,4,2,1,0
999,Sunday,2,2,0,2,1,0,0
999,Sunday,4,3,1,2,4,4,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,7,11,0,11,2,0,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,3,1,6,-5,3,3,2
999,Sunday,2,0,4,-4,2,2,2
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,1,1,0,2,2,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,14,9,5,4,3,2,1
999,Sunday,2,4,5,-1,2,2,2
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,3,7,7,0,3,3,3
999,Sunday,2,0,2,-2,2,2,2
999,Sunday,2,2,0,2,1,0,0
999,Sunday,1,2,2,0,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,0,2,-2,1,1,1
999,Sunday,2,2,2,0,1,0,1
999,Sunday,2,1,2,-1,2,2,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,0,2,-2,2,2,2
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,2,2,0,2,2,1
999,Sunday,9,11,0,11,4,2,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,2,0,2,2,2,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,8,0,8,-8,2,0,2
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,1,0,1,1,1,0
999,Sunday,1,1,0,1,1,1,0
999,Sunday,2,0,2,-2,1,0,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,1,1,0,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,3,1,2,-1,3,3,2
999,Sunday,2,0,2,-2,1,0,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,4,0,5,-5,3,2,3
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,5,1,4,-3,2,0,2
999,Sunday,4,0,5,-5,4,4,4
999,Sunday,1,1,1,0,1,1,1
999,Sunday,2,1,1,0,2,2,1
999,Sunday,3,3,3,0,1,0,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,4,5,0,5,2,0,0
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,2,0,2,-2,1,0,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,4,2,2,0,2,0,2
999,Sunday,1,1,0,1,1,1,0
999,Sunday,3,1,2,-1,2,1,1
999,Sunday,1,0,1,-1,1,1,1
999,Sunday,1,0,1,-1,1,1,1
